question_id,student_answer,score
1,الشهادة الزكاة الصيام الصلاة الحج ,2.5
1,الشهادتان، الصلاة، الزكاة، الصوم،الحج,2.5
1,الشهادتان اقامة الصلاة ايتاء الزكاة صوم رمضان حج البيت ,2.5
1,الشهادتين الصوم الصلاة الزكاة الحج,2.5
1,الشهادتان _ الصلاة _ الزكاة _ الصوم _ الحج,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت من استطاع اليه سبيلا ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة ,1.5
1,الشهادتان إقام الصلاة ايتاء الزكاة و الصوم,2.0
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت من استطاع اليه سبيلا ,2.5
1,5,0.0
1,الشهادة الصلاة الزكاة الصوم الحج ,2.5
1,الشهادتان الصلاة الزكاة الصوم ,2.0
1,أركان الإسلام خمسة وهي الصلاة والزكاة,1.0
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادة الصوم الصلاة الزكاة الحج ,2.5
1,الصلاة الصيام الزكاة ,1.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادة الصلاة الزكاة الصوم,2.0
1,الشهادتان إقامة الصلاة ايتاء الزكاة ,1.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة ,1.5
1,الصلاة الزكاة الصيام الحج من استطاع إليه سبيلا ,2.0
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادتان الصلاة الزكاة الصوم الحج لمن استطاع ,2.5
1,إقامة الصلاة ايتاء الزكاة صوم رمضان ,1.5
1,أركان الإسلام خمسة وهي الصلاة الزكاة الصيام الحج وتحية المسجد ,2.0
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان ,2.0
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادتان إقامة الصلاة ,1.0
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادة الصلاة الزكاة الصوم,2.0
1,اقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.0
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت من استطاع اليه سبيلا ,2.5
1,الشهادتان الصلاة الزكاة الصوم الحج ,2.5
1,ستة وهي الإيمان بالله وملائكته وكتبه ورسوله واليوم الاخر وبالقدر خيره و شركة ,0.0
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت من استطاع اليه سبيلا ,2.5
1,5,0.0
1,إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت من استطاع اليه سبيلا ,2.0
1,الشهادة الصلاة الصوم ,1.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت من استطاع اليه سبيلا ,2.5
1,الشهادتان الصلاة الزكاة الصوم الحج ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت من استطاع اليه سبيلا ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة ,1.5
1,5 و هي الشهادتين الصلاة الزكاة الصوم الحج ,2.5
1,أركان الإسلام خمسة ,0.0
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت من استطاع اليه سبيلا ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت من استطاع اليه سبيلا ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان والحج,2.5
1,الشهادتان إقامة الصلاة إيتاء الزكاة صوم رمضان حج بيت الله الحرام ,2.5
1,"أركان الإسلام خمس وهي:
الشهادتان، اقام الصلاة ،إيتاء الزكاة،صوم رمضان،حج بيت الله الحرام لمن استطاع إليه سبيل.",2.5
1,شهادة الا إلله الا الله وان محمد الرسول الله إقامة الصلاه إتاء الزكاة صوم رمضان وحج البيت من إستطاع إليه سبيل ,2.5
1,أركان الإسلام خمسة وهي الصلاة والزكاة والحج والصيام والشهادتان,2.5
1,قواعد الاسلام خمس واجبات . وهي الشهادتان شرط الباقيات. ثم الصلاة والزكاة في القطاع. والثوم والحج على من استطاع,2.5
1,شهادة أن لاإله إلا الله وأن محمد رسول الله صلى الله عليه وسلم ثم صلاة و زكاة وصوم وحج البيت لمن استطاع ,2.5
1,أركان الإسلام خمسة 1_الشهداتان  2_اقام الصلاة 3_ايتاء الزكاة 4_صوم رمضان 5_حج بيت الله الحرام,2.5
1,الصلاة و الصوم و الزكاة و الحج واليمان بالرسل ,2.0
2,الايمان بالكتب والملائكة والناس أجمعين ,1.0
2,الايمان بالله و ملائكته و كتبه و رسله و اليوم الآخر و القدر خيره و شره ,3.0
2,ايمان بالله وملائكته وكتبه و رسله و اليوم الآخر والقضاء والقدر خيره و شره,3.0
2,6,0.0
2,الايمان بالله و بملائكته و كتبه و رسله و اليوم الأخر  و الإبمان بالقدر خيره و شره ,3.0
2,الايمان بالله و ملائكته و كتبه و رسله و اليوم الاخر,2.5
2,الايمان بالله و الملائكة و الكتب ,1.5
2,الإيمان بالله  و ملائكته و كتبه و رسله و القدر خيره و شره و اليوم الآخر,3.0
2,الإيمان بالله والكتب والرسل والقدر ,1.5
2,الصوم والصلاة ,0.0
2,الايمان بالله,0.5
2,الإيمان بالله و رسله و كتبه,1.5
2,الايمان بالله وملائكته ورسله واليوم الآخر  و القدر خيره ,2.5
2,الايمان بالله و ملائكته و كتبه و رسله و اليوم الآخر ,2.5
2,الايمان بالله و بملائكته وبكتبه وبرسله وباليوم الآخر وبالقدر خيره وشره,3.0
2,الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره.,3.0
2,الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره,3.0
2,الإيمان بالله وملائكته وكتبه و رسله ,2.0
2,الايمان بالله و القران و الرسل ,1.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.5
2,الإيمان بالقدر خيره وشره ,0.5
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.5
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.5
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.5
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.5
2,6,0.0
2,الايمان بالله و الملائكة و الكتب و الرسل و اليوم الآخر ,2.5
2,6 و هي الإيمان بالله و ملائكته و كتبه و رسله و اليوم الآخر و القدر خيره و شره ,3.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.5
2,الايمان بالله و الملائكة و الكتب و الرسل ,2.0
2,6,0.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.5
2,الإيمان بالله والملائكة والرسل والكتب والإيمان بالقدر خيره وشره,2.5
2,الايمان بالله و رسله و كتبة وملائكته و اليوم الاخر والايمان بالقضاء خيره و شره .,3.0
2,الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشر,3.0
2,الايمان بالله و ملائكته و كتبه و رسله و اليوم الاخر و القدرخيره و شره,3.0
2,الايمان بالله وملائكته ورسله وكتبه والقدر خيره وشره,2.5
2,أن تؤمن بالله وملائكته وكتبه ورسله واليوم  الآخر وان تؤمن بالقدر خيره وشره ,3.0
2,الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره,3.0
2,الإيمان بالله وملائكته وكتبه ورسله والقدر خيره وشره,2.5
2,أركان الإيمان ستة وهي الإيمان بالله وملائكته وكتيه ورسله وباليوم الاخر وبالقدر خيره وشره ,3.0
2,الإيمان بالله و بملائكته و رسله و كتبه و اليوم الأخر والإبمان بالقدر خيره و شره,3.0
2,الإيمان بالله و بملائكته و رسله و كتبه و اليوم الأخر والإبمان بالقدر خيره و شره,3.0
2,غسل اليدين ثلاث مرات و المضمضة و الإستنشاق و غسل اليدين الى المرفق و غسل الوجه و مسح الرأس و الأذنين ا وغسل الرجلين ,0.0
2,الإيمان بالله و بملائكته و رسله و كتبه و اليوم الأخر والإبمان بالقدر خيره و شره,3.0
2,الإيمان بالله وملائكته وكتبه ورسله ةاليوم الآخر والقدر خيره وشره,3.0
2,ان تأمن بالله وملائكته وكتبه ورسله,2.0
2,ان تؤمن بالله وملاءكته وكتبه ورسله واليوم الآخر ,2.5
2,الايمان بالله_ وملائكته_ وكتب_ ورسل_وبيوم الاخر_وقدر خيره وشره,3.0
2,الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر وبالقدر خيره وشره ,3.0
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.5
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.5
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره ,2.5
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.5
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.5
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.5
2,الإيمان بالله وملائكته وكتبه ,1.5
2,الايمان بالله و الملائكة و الكتب و الرسل و اليوم الآخر ,2.5
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.5
2,الإيمان بالله وملائكته ,1.0
2,6,0.0
2,الايمان بالله و الملائكة و الرسل و الكتب و اليوم الآخر و القدر خيره و شره,3.0
2,الايمان بالله و القران و الرسول ,0.5
2,أركان الإيمان ستة وهي الإيمان بالغيب وبالله والملائكة ,1.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.5
2,الايمان بالله و رسله و كتبه و ملائكته و الآخرة ,2.5
2,الايمان بالله وملائكته وكتبه ورسوله واليوم الاخر وبالقدر خيره و شره,3.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.5
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.5
2,الايمان بالله و الملائكة و الرسل و القرآن و الآخرة ,2.0
2,الإيمان بالله وملائكته ,1.0
2,الإيمان بالله وملائكته ,1.0
2,الإيمان بالله وبالملائكة وبالكتب السماوية و بالقدر وبيوم القيامة ,2.5
2,الإيمان بالله وملائكته وبيوم القيامة,1.5
2,الايمان بالله و الملائكة و الكتب و الرسل و اليوم الآخر و القدر خيره و شره,3.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره وبليلة القدر,1.5
2,أركان الإيمان ستة وهي الإيمان بالله وملائكته والقران والانجيل والتوراة والزبور وبجميع الانبياء والرسل وبالقدر وبيوم التغابن ,3.0
2,الإيمان بالله وملائكته وبيوم القيامة ,1.5
2,الإيمان بالله وملائكته وكتبه ,1.5
2,الإيمان بالله وملائكته ,1.0
2,الإيمان بالله وملائكته وبحدوث الساعة ,1.5
2,الايمان بالله و الملائكة و الكتب و الرسل و اليوم الآخر و القضاء و القدر ,3.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره وبليلة القدر,1.5
2,الإيمان بالله وملائكته وبحدوث الساعة ,1.5
2,الايمان بالله و الملائكة و الكتب و الرسل و اليوم الآخر و القدر خيره و شره,3.0
2,خمسة وهي الصلاة والزكاة والحج والصيام والشهادة,0.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,1.5
2,6,0.0
2,الإيمان بليلة القدر ويوم القيامة ,0.5
2,الايمان بالله و الملائكة و الرسل و اليوم الآخر و الكتب ,2.5
2,الإيمان بالله وملائكته وبالقدر خيره وشره وبليلة القدر,1.5
2,6,0.0
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.5
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.5
2,الايمان بالله و الملائكة و الكتب و الرسل و القضاء و القدر و اليوم الاخر,3.0
2,أركان الإيمان ستة ,0.0
2,الإيمان بالله وملائكته وبالقدر خيره وشره وبليلة القدر ,1.5
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.5
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,2.5
2,الايمان بالله و الملائكة و الكتب و الرسل و اليوم الآخر و القدر خيره و شره,3.0
2,"أركان الإيمان ست وهي:
ان تؤمن بالله وملاءكته وكتبه ورسله واليوم الآخر وبالقدر خيره وشره. ",3.0
2,ان تومن بالله وملائكته وكتبه ورسله واليوم الاخر قدر خيره وشره ,3.0
2,أركان الإيمان ستة وهي الإيمان بالله وملائكته وكتبه ورسله وباليوم الاخر وبالقدر خيره و شره,3.0
2,الإيمان ما رسخ في القلب وعملت به الجوارح وصدقه العقل . له ستة أركان واجبات.  الإيمان بالله شرط الباقيات. ثم الإيمان بملائكته وكتبه ورسله وباليوم الاخر وبالقدر خيره و شره,3.0
2,إيمان بالله وملائكته وكتبه ورسله أجمعين وبالقدر و باليوم الاخر,3.0
2,أركان الإيمان ستة.  الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره,3.0
2,لا أعلم ,0.0
3,سبعة وهي غسل الوجه غسل اليدين الى المرفقين النية الدلك الفور مسح الرأس وغسل الرجلين الى الكعبين ,1.75
3,"غسل الوجه اليدين الرأس و الكعبين
سننه التسمية المضمضة الاستنشاق الاستنثار مسح الاذنين ",2.0
3,"فرائض: النية،غسل الوجه،غسل اليدين،مسح الرأس،غسل الرجلين
سنن: التسيمة، مضمضة الفم،الإستنشاق،غسل الوجه،غسل اليدين، الشهادة",2.5
3,؟,0.0
3,فرائض هي غسل اليدين  ثلاث مرات و غسل الوجه ثلاث مرات  مسح رأس و مسح الأذنين و غسل الرجلين  ام سننه المضمضة و الإستنشاق و غسل اليدين الى المرفق ثلاث مرات على ماأذن ,2.0
3,غسل اليدين و الوجه و الرجلين,0.75
3,غسل الوجه مسح الرأس و غوجو ساتورو,0.5
3,النية غسل الوجه و اليدين و الرجلين الدلك  و الفور,1.5
3,الفرائض هي النية والدلك والفور غسل الوجه واليدين إلى المرفقين وغسل الرجلين والسنن مسح الراس والاستنجاء,1.75
3,مستحب,0.0
3,الاستنجاء,0.25
3,غسل اليدين و الوجه و الأرجل و السنن المضمضة و الاستنشاق و الاستنثار ,1.5
3,الاستنجاء ,0.25
3,غسل اليدين و الوجه و الرجلين السنن مسح الاذنين و المضمضة و الاستنشاق و الاستنثار ,1.75
3,غسل اليدين الى الكوعين ثلاثا غسل الفم مع المضمضة ثلاثا الاستنشاق والاستنتار ثلاثا غسل الوجه ثلاثا غسل اليدين الى المرفقين ثلاثا مسح الرأس مسح الاذنين غسل القدمين الى الكعبين ثلاثا ,2.0
3,"فرائض الوضوء: النية، غسل الوجه وغسل اليدين إلى المرفقين ومسح الرأس وغسل الرجلين إلى الكعبين. 

سنن الوضوء: 1 – التسمية في أوله لحديث أبي هريرة رضي الله عنه قال: قال رسول الله : لا وضوء لمن لم يذكر اسم الله عليه. أخرجه أحمد, وأبو داود, وابن ماجه,
2- السواك, فيستحب للمتوضئ أن يستاك – في أول الوضوء أو عند المضمضة – لما ثبت من حديث  أبي هريرة أن رسول الله  قال : لولا أن أشق على أمتي لأمرتهم بالسواك مع كل وضوء.  أخرجه مالك, وأحمد, والنسائي, وصححه ابن خزيمة .
2- غسل الكفين ثلاثا أول الوضوء لما رواه أحمد والنسائي عن أوس قال: رأيت النبي صلى الله عليه وسلم توضأ فاستوكف ثلاثا، أي غسل كفيه ثلاثا. ولأن الذين وصفوا وضوء رسول الله صلى الله عليه وسلم ذكروا أنه يغسل كفيه ثلاثا في أوله .
3- المبالغة في المضمضة والاستنشاق لغير الصائم لحديث: وبالغ في الاستنشاق إلا أن تكون صائما. أخرجه أبو داوود والنسائي والترمذي وابن ماجه وصححه ابن خزيمة.
4- تخليل اللحية الكثيفة لما ثبت عن النبي صلى الله عليه وسلم أنه كان إذا توضأ أخذ كفا من ماء فأدخله تحت حنكه فخلل به لحيته وقال هكذا أمرني ربي عز وجل ... رواه أبو داوود وصححه الألباني .
5- تخليل أصابع اليدين والرجلين لحديث لقيط ابن صبرة: وخلل بين الأصابع. أخرجه الأربعة وصححه ابن خزيمة .
6 – البداءة باليمين قبل اليسار لحديث عائشة رضي الله عنها قالت: كان النبي يعجبه التيمن في تنعله, وترجله, وطهوره, وفي شأنه كله. متفق عليه
7 -  تكرار غسل العضو مرتين أو ثلاث.
8 – الذكر بعد الانتهاء من الوضوء.

",3.0
3,غسل اليدين إلى الكوعين. المضمضة. الاستنشاق والاستنثار. غسل الوجه. مسح الرأس. مسح الأذنين. غسل اليدين إلى المرافقين. غسل الرجلين إلى الكعبين ,2.5
3,النية غسل اليدين للمرافق غسل الرجلين ,0.75
3,"غسل الرجلين و اليدين و الوجه و الرأس
السنن مسح الرأس مسح الاذنين ",1.25
3,النية غسل الوجه البسملة المضمضة,1.0
3,النية غسل الوجه غسل اليدين للمرافق البسملة الاستنشاق والاستنثار ,1.5
3,النية غسل الوجه مسح الرأس البسملة المضمضة غسل الاذنين ,1.5
3,النية البسملة المضمضة الاستنشاق والاستنثار غسل الوجه,1.5
3,النية إقامة الصلاة ايتاء الزكاة صوم رمضان ,0.0
3,النية مسح الرأس غسل الوجه الاستنشاق والاستنثار البسملة ,1.5
3,20,0.0
3,غسل الوجه و اليدين و الرجلين و النية و البسملة و مسح الرأس ,1.5
3,"فرائض الوضوء غسل اليدين و الوجه و الرجلين مسح الرأس 
سننه المضمضة الاستنشاق الاستنثار مسح الاذنين ",1.75
3,النية البسملة المضمضة الاستنشاق والاستنثار غسل اليدين للمرافق ,1.5
3,الفرائض غسل الوجه و الوجه و اليدين ,0.5
3,7,0.0
3,النية البسملة المضمضة الاستنشاق والاستنثار غسل اليدين للمرافق ,1.5
3,النية .غسل اليدين إلى الكوعين . غسل الوجه واليدين إلى المشرفين.  مسح الرأس.  غسل  الرجلين إلى الكعبين .الدلك .الفور,1.75
3,المضمة - الاستنشاق - الاستنثار  غسل اليدين و غسل الرجلين و مسح الىأس ,1.5
3,النية غسل الوجه واليدين والرجلين وسننه مسح الرأس والاذنين ,1.5
3,النيةغسل الوجه غسل اليدين الى المرفقين مسح الراس غسل الرجلين الى الكعبين,1.25
3,النية والبسمة وغسل اليدين الى الكوعين ثلاثا والمضمضة ثلاثا والاستنشاق والاستنثار ثلاثا وغسل الوجه ثلاثاوغسل اليدين الى المرفقين ثلاثا ومسح الرأس ورد مسح الرأس ومسح الاذنين وغسل الرجلين الى الكعبين ثلاثا,2.75
3,"غسل اليدين الى المرفقين المضمضة النية غسل الوجه 
مسح الرأس  غسل الرجلين الى الكوعين 
غسل اليدين الى الكوعين الاستثار الاستنشاق رد مسح الرأس مسح الاذنين ",2.75
3,6,0.0
3,النية غسل الوجه غسل اليدين مسح الرأس غسل الرجلين الفور ,1.5
3,فرائض الوضوء سبعة وهي  النية والدلك والفور غسل الوجه واليدين الى المرفقين ثم مسح الرأس ثم غسل الرجلين الى الكعبين غسل ,1.75
3,غسل اليدين ثلاث مرات و المضمضة و الإستنشاق و غسل اليدين الى المرفق و غسل الوجه و مسح الرأس و الأذنين ا وغسل الرجلين ,1.75
3,غسل اليدين و الرجلين و المضمضة و مسح الرأس و مسح الأذنين و غسل الوجه ,1.5
3,غسل اليدين و الرجلين و المضمضة و الإستنشاق و مسح الرأس و الأذنين و غسل الوجه ,1.75
3,غسل اليدين ثلاث مرات و المضمضة و الإستنشاق و غسل اليدين الى المرفق و غسل الوجه و مسح الرأس و الأذنين ا وغسل الرجلين ,2.0
3,"فرائض الوضوء : النية ، الدلك ، الفور ، غسل الوجه، غسل اليدين الى المرفقين، مسح الرأس، عسل الرجلين الى الكوعين
سنن الوضوء: المضمضة، الإستنشاق، الإستنثار ، رد مسح الرأس ، مسح الأذنين، غسل اليدين الى الكوعين، الترتيب ",3.5
3,النية البسملة غسل اليدين الكعين ثلاث مرات المضمضة الاستنشاق الاستنثار ثلاث مرات غسل الوجه ثلاث مرات غسل اليدين الى المرفقين ثلاث مرات مسح الراس وغسل الرجلين ثلاث مرات ,2.5
3,النية غسل اليدين الي المعين المضم الاستنشاق الاستنثار,1.25
3,النية غسل اليدين الى الكوعين المضمضة الاستنشاق الاستنثار غسل الوجه غسل اليدين الى المرفقين مسح الرأس مسح الاذنين غسل الرجلين الى الكوعين ,2.5
3,النية البسملة المضمضة الاستنشاق والاستنثار غسل اليدين للمرافق مسح الرأس الدلك الفور,2.25
3,النية البسملة المضمضة الاستنشاق الدلك والفور,1.5
3,النية مسح الرأس غسل الوجه الاستنشاق والاستنثار ,1.25
3,غسل الوجه الاستنشاق والاستنثار البسملة مسح الرأس ,1.25
3,النية البسملة المضمضة الاستنشاق والاستنثار غسل اليدين للمرافق غسل الرجلين إلى الكعبين,1.75
3,النية البسملة غسل الوجه الاستنشاق والاستنثار الدلك والفور ,1.75
3,النية البسملة المضمضة الاستنشاق والاستنثار غسل اليدين للمرافق غسل الوجه الدلك والفور ,2.25
3,الدلك والفور غسل اليدين للمرافق غسل الوجه ,1.0
3,"الفرائض غسل اليدين و الوجه و غسل الرجلين 
السنن المضمضة الاستنشاق الاستنثار ",1.5
3,غسل الوجه غسل اليدين للمرافق مسح الرأس الدلك والفور البسملة ,1.5
3,النية البسملة المضمضة الاستنشاق والاستنثار غسل اليدين للمرافق غسل الوجه ,1.75
3,10,0.0
3,"الفرائض غسل اليدين الوجه الرجلين الرأس
السنن المضمضة الاستنشاق الاستنثار مسح الاذنين ",1.5
3,"الفرائض 7 
السنن 8 ",0.0
3,فرائض الوضوء سبعة وسننه ثلاثة عشر ,0.0
3,النية البسملة الدلك والفور غسل الوجه ,1.25
3,"الفرائض غسل الوجه و اليدين و القدمين و الرأس
",1.0
3,النية الدلك الفور غسل الوجه ,1.0
3,النية البسملة المضمضة الاستنشاق والاستنثار غسل اليدين للمرافق ,1.5
3,الدلك والفور غسل الوجه الاستنشاق والاستنثار ,1.25
3,النية المضمضة الاستنشاق الاستنثار غسل اليدين و الرجلين و الوجه و مسح الرأس و الأذنين ,2.25
3,البسملة المضمضة الاستنشاق والاستنثار ,1.0
3,النية البسملة المضمضة الاستنشاق الدلك والفور ,1.5
3,الدلك والفور ثم غسل اليدين إلى الكعبين والتشهد ,1.0
3,النية البسملة المضمضة الاستنشاق والاستنثار غسل اليدين للمرافق ,1.5
3,النية البسملة غسل اليدين الوجه الرجلين مسح الرأس و مسح الاذنين الدلك ,1.75
3,المضمضة الاستنشاق والاستنثار غسل اليدين للمرافق مسح الرأس ,1.25
3,سبعة وهي الدلك الفور غسل الوجه واليدين والرجلين ومسح الرأس ,1.5
3,البسملة غسل اليدين للمرافق مسح الرأس الدلك والفور ,1.25
3,النية البسملة المضمضة الاستنشاق والاستنثار الدلك والفور ,1.75
3,النية البسملة المضمضة الاستنشاق والاستنثار ,1.25
3,الدلك والفور غسل الوجه الاستنشاق والاستنثار ,1.25
3,"الفرائض 7 
السنن 7",0.25
3,البسملة المضمضة الاستنشاق والاستنثار الدلك والفور ر ,1.5
3,النية البسملة المضمضة الاستنشاق والاستنثار غسل اليدين للمرافق ,1.5
3,نية بسملة استنشاق استنثار غسل وجه و اليدين و الرجلين و مسح الرأس و رد مسح الرأس و الدلك و التخليل بين الأصابع ,2.5
3,فرائضه سبعة وسننه ثلاثة عشر,0.25
3,النية البسملة غسل اليدين للمرافق مسح الرأس ,1.0
3,14,0.0
3,النية البسملة المضمضة الاستنشاق والاستنثار غسل اليدين للمرافق ,1.5
